Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
sofosbuvir,Sovaldi,2016-10-25,Treatment of pediatric chronic hepatitis C virus infection,Designated/Approved,,,Treatment of chronic HCV genotype 2 or 3 infection in pediatric patients 12 years of age and older or weighing at least 35 kg without cirrhosis or with compensated cirrhosis for use in combination with ribavirin,2017-04-07,2024-04-07,Treatment of chronic HCV genotype 2 or 3 infection in pediatric patients 12 years of age and older or weighing at least 35 kg without cirrhosis or with compensated cirrhosis for use in combination with ribavirin,"Gilead Sciences, Inc.",333 Lakeside Drive,,Foster City,California,' 94404 ' ,United States,541716.0
sofosbuvir and velpatasvir,Epclusa,2017-02-22,Treatment of pediatric chronic hepatitis C virus (HCV) infection,Designated/Approved,,,"EPCLUSA is indicated for the treatment of adults and pediatric patients 6 years of age and older or weighing at least 17 kg with chronic hepatitis C virus (HCV) genotype 1, 2, 3, 4, 5, or 6 infection: without cirrhosis or with compensated cirrhosis; or with decompensated cirrhosis for use in combination with ribavirin.",2020-03-19,2027-03-19,"For the treatment of pediatric patients 6 years of age and older or weighing at least 17 kg with chronic hepatitis C virus (HCV) genotype 1, 2, 3, 4, 5, or 6 infection: without cirrhosis or with compensated cirrhosis; or with decompensated cirrhosis for use in combination with ribavirin.","Gilead Sciences, Inc.",333 Lakeside Drive,,Foster City,California,' 94404 ' ,United States,554816.0
sofosbuvir and velpatasvir,Epclusa,2017-02-22,Treatment of pediatric chronic hepatitis C virus (HCV) infection,Designated/Approved,,,"treatment of adults and pediatric patients 3 years of age and older with chronic hepatitis C virus (HCV) genotype 1, 2, 3, 4, 5, or 6 infection without cirrhosis or with compensated cirrhosis, or with decompensated cirrhosis for use in combination with ribavirin",2021-06-10,2028-06-10,"treatment of pediatric patients 3 years of age to less than 6 years of age weighing less than 17 kg with chronic hepatitis C virus (HCV) genotype 1, 2, 3, 4, 5, or 6 infection: without cirrhosis or with compensated cirrhosis; or with decompensated cirrhosis for use in combination with ribavirin","Gilead Sciences, Inc.",333 Lakeside Drive,,Foster City,California,' 94404 ' ,United States,554816.0
Solriamfetol,Sunosi,2012-08-20,Treatment of narcolepsy,Designated/Approved,,,SUNOSI is indicated to improve wakefulness in adult patients with excessive daytime sleepiness associated with narcolepsy,2019-06-17,2026-06-17,To improve wakefulness in adult patients with excessive daytime sleepiness associated with narcolepsy,"Axsome Malta, Ltd.","78 Mill Street, Zone 5, Central Business District",,Qormi,,' CBD 5090 ' ,Malta,375112.0
somapacitan-beco,Sogroya,1987-07-10,1. Treatment of growth failure in children due to inadequate growth hormone secretion 2. Treatment of short stature associated with Turner's syndrome,Designated/Approved,,,Treatment of pediatric patients aged 2.5 years and older who have growth failure due to inadequate secretion of endogenous growth hormone (GH),2023-04-28,,,Novo Nordisk Pharmaceuticals,100 Overlook Center,Suite 200,Princeton,New Jersey,' 08540 ' ,United States,13386.0
Somatrem for injection,Protropin,1985-12-09,"1. Long-term treatment of children who have growth failure due to a lack of adequate endogenous growth hormone secretion (prevalence 15,000) 2. Treatment of short stature associated with Turner's syndrome (prevalence 8000).",Designated/Approved/Designation Withdrawn or Revoked,2024-09-09,,,1985-10-17,1992-10-17,,"Genentech, Inc.",460 Point San Bruno Boulevard,,South San Francisco,California,' 94080 ' ,United States,10785.0
somatrogon-ghla,Ngenla,2010-09-29,Treatment of growth hormone deficiency,Designated/Approved,,,treatment of pediatric patients aged 3 years and older who have growth failure due to an inadequate secretion of endogenous growth hormone,2023-06-27,2030-06-27,treatment of pediatric patients aged 3 years and older who have growth failure due to an inadequate secretion of endogenous growth hormone,Pfizer Ireland Pharmaceuticals,Operations Support Group Building,,Ringaskiddy,Co. Cork,' ' ,Ireland,313410.0
Somatropin,Norditropin,2006-08-09,Treatment of short stature in patients with Noonan syndrome,Designated/Approved,,,Treatment of short stature in patients with Noonan syndrome,2007-05-31,2014-05-31,,Novo Nordisk Inc.,100 College Road West,,Princeton,New Jersey,' 08540 ' ,United States,226606.0
Somatropin,Nutropin,1987-03-06,For use in the long-term treatment of children who have growth failure due to a lack of adequate endogenous growth hormone secretion.,Designated/Approved,,,,1985-10-17,1992-10-17,,"Genentech, Inc.",460 Point San Bruno Boulevard,,South San Francisco,California,' 94080 ' ,United States,12586.0
Somatropin,Genotropin,1994-09-06,Treatment of adults with growth hormone deficiency.,Designated/Approved,,,,1997-10-31,2004-10-31,,Pharmacia & Upjohn,7000 Portage Road,,Kalamazoo,Michigan,' 49001 ' ,United States,83594.0
Somatropin,Humatrope,1990-05-08,Treatment of short stature associated with Turner syndrome.,Designated/Approved,,,Treatment of short stature associated with Turner syndrome in patients whose epiphyses are not closed.,1996-12-30,2003-12-30,,Eli Lilly and Company,Lilly Corporate Center,,Indianapolis,Indiana,' 46285 ' ,United States,45090.0
Somatropin,Humatrope,2005-12-15,Treatment of short stature in pediatric patients with short stature homeobox-containing gene (SHOX) deficiency,Designated/Approved,,,Treatment of short stature or growth failure in children with SHOX (short stature homeobox-containing gene) deficiency whose epiphyses are not closed,2006-11-01,2013-11-01,,Eli Lilly and Company,Lilly Corporate Center,,Indianapolis,Indiana,' 46285 ' ,United States,211205.0
Somatropin (r-DNA),Zorbtive,1995-03-06,For use alone or in combination with glutamine in the treatment of short bowel syndrome.,Designated/Approved,,,Treatment of short bowel syndrome in patients receiving specialized nutritional support,2003-12-01,2010-12-01,,"EMD Serono, Inc.",One Technology Place,,Rockland,Massachusetts,' 02370 ' ,United States,80394.0
Somatropin (rDNA origin),Saizen,1987-03-06,Treatment of idiopathic or organic growth hormone deficiency in children with growth failure.,Designated/Approved,,,Long term treatment of children with growth failure due to inadequate secretion of endogenous growth hormone.,1996-10-08,,,"EMD Serono, Inc.",One Technology Place,,Rockland,Massachusetts,' 02370 ' ,United States,15486.0
Somatropin (rDNA origin),Nutropin Depot,1999-10-28,Long-term treatment of children who have growth failure due to a lack of adequate endogenous growth hormone secretion.,Designated/Approved,,,Long-term treatment of growth failure due to a lack of adequate endogenous growth hormone secetion for once- or twice-a-month administration.,1999-12-22,,,"Genentech, Inc.",1 DNA Way,,South San Francisco,California,' 94080 ' ,United States,115098.0
Somatropin (rDNA origin) injection,Norditropin,1987-07-10,1. Treatment of growth failure in children due to inadequate growth hormone secretion 2. Treatment of short stature associated with Turner's syndrome,Designated/Approved,,,Long-term treatment of children who have growth failure due to inadequate secretion of endogenous growth hormone.,2000-06-20,,,Novo Nordisk Pharmaceuticals,100 Overlook Center,Suite 200,Princeton,New Jersey,' 08540 ' ,United States,13386.0
Somatropin for injection,Humatrope,1986-06-12,For the long-term treatment of children who have growth failure due to inadequate secretion of normal endogenous growth hormone.,Designated/Approved,,,,1987-03-08,1994-03-08,,Eli Lilly and Company,Lilly Corporate Center,,Indianapolis,Indiana,' 46285 ' ,United States,11285.0
Somatropin for injection,Serostim,1991-11-15,Treatment of AIDS-associated catabolism/weight loss.,Designated/Approved,,,Treatment of AIDS wasting or cachexia.,1996-08-23,2003-08-23,,"EMD Serono, Inc.",One Technology Place,,Rockland,Massachusetts,' 02370 ' ,United States,60491.0
Somatropin for injection,Nutropin,1989-03-23,Treatment of short stature associated with Turner's syndrome.,Designated/Approved,,,Treatment of growth failure associated with Turner syndrome.,1996-12-30,2003-12-30,,"Genentech, Inc.",460 Point San Bruno Boulevard,,South San Francisco,California,' 94080 ' ,United States,12686.0
Somatropin for injection,Nutropin,1989-08-04,Treatment of growth retardation associated with chronic renal failure.,Designated/Approved,,,Treatment of children with growth failure associated with chronic renal insufficency.,1993-11-17,2000-11-17,,"Genentech, Inc.",460 Point San Bruno Boulevard,,South San Francisco,California,' 94080 ' ,United States,34989.0
Somatropin for injection,Nutropin,1996-11-18,As replacement therapy for growth hormone deficiency in adults after epiphyseal closure.,Designated/Approved,,,,1997-12-15,2004-12-15,,"Genentech, Inc.",460 Point San Bruno Boulevard,,South San Francisco,California,' 94080 ' ,United States,100396.0
Somatropin [rDNA],Genotropin,1999-07-06,Treatment of short stature in patients with Prader-Willi syndrome.,Designated/Approved,,,Long-term treatment of pediatric patients who have growth failure due to Prader-Willi syndrome (PWS).,2000-06-20,2007-06-20,,Pharmacia & Upjohn,7000 Portage Rd.,0633-298-113,Kalamazoo,Michigan,' 49001 ' ,United States,124799.0
somatropin [rDNA],Genotropin,2000-12-27,Treatment of growth failure in children who were born small for gestational age.,Designated/Approved,,,For long-term treatment of growth failure in children born small for gestational age who fail to manifest catch-up growth by two years of age.,2001-07-25,2008-07-25,,Pharmacia and Upjohn Company,7000 Portage Road,,Kalamazoo,Michigan,' 49001 ' ,United States,135400.0
Sorafenib,Nexavar,2006-04-20,Treatment of hepatocellular carcinoma,Designated/Approved,,,Treatment of unresectable hepatocellular carcinoma,2007-11-16,2014-11-16,,Bayer Pharmaceuticals Corporation,400 Morgan Lane,,West Haven,Connecticut,' 06516 ' ,United States,220206.0
sorafenib,Nexavar,2011-12-12,"Treatment of medullary thyroid cancer, anaplastic thyroid cancer, and recurrent or metastatic follicular or papillary thyroid cancer",Designated/Approved,,,"Treatment of patients with locally recurrent or metastatic, progressive, differentiated thyroid carcinoma (DCT) that is refractory to radioactive iodine treatment.",2013-11-22,2020-11-22,"Treatment of patients with locally recurrent or metastatic, progressive, differentiated thyroid carcinoma (DCT) that is refractory to radioactive iodine treatment.","Bayer HealthCare Pharmaceuticals, Inc.",100 Bayer Blvd.,PO Box 915,Whippany,New Jersey,' 07981 ' ,United States,320310.0
Sorafenib,Nexavar,2004-10-08,Treatment of renal cell carcinoma.,Designated/Approved,,,Treatment of patients with advanced renal cell carcinoma,2005-12-20,2012-12-20,,Bayer Pharmaceutical Corporation,400 Morgan Lane,,West Haven,Connecticut,' 06516 ' ,United States,185204.0
sotalol (IV),So-Aqueous,2008-07-25,"For ventricular tachycardia, ventricular fibrillation, or the maintenance of sinus rhythm in patients converted from atrial fibrillation or atrial flutter when oral administration is not possible.",Designated/Approved,,,"For use as a substitute for oral sotalol in patients who are unable to take sotalol orally [oral sotalol is indicated for maintenance of normal sinus rhythm in patients with history of highly symptomatic atrial fibrillation /flutter, and for treatment of documented life-threatening ventricular arrhythmias]",2009-07-02,2016-07-02,,AltaThera Pharmaceuticals LLC,311 South Wacker Drive,Suite 2275A,Chicago,Illinois,' 60606 ' ,United States,247707.0
Sotalol HCl,Betapace,1988-09-23,1. Treatment of life-threatening ventricular tachyarrhythmias 2. Prevention of life treatening ventricular tachyarrhythmias,Designated/Approved,,,Treatment of life-threatening ventricular tachyarrhythmias,1992-10-30,1999-10-30,,"Berlex Laboratories, Inc.",300 Fairfield Road,,Wayne,New Jersey,' 07470 ' ,United States,30088.0
sotatercept-csrk,Winrevair,2019-09-05,Treatment of pulmonary arterial hypertension,Designated/Approved,,,"treatment of adults with pulmonary arterial hypertension (PAH, World Health Organization [WHO] Group 1) to increase exercise capacity, improve WHO functional class (FC), and reduce the risk of clinical worsening events",2024-03-26,2031-03-26,"treatment of adults with pulmonary arterial hypertension (PAH, World Health Organization [WHO] Group 1) to increase exercise capacity, improve WHO functional class (FC), and reduce the risk of clinical worsening events",Merck Sharp & Dohme LLC,126 East Lincoln Avenue,P.O. Box 2000,Rahway,New Jersey,' 07065 ' ,United States,700219.0
sotorasib,Lumakras,2019-05-23,Treatment of KRAS (Kirsten rat sarcoma viral oncogene homolog) p.G12C-positive Colorectal Cancer.,Designated/Approved,,,"in combination with panitumumab, for the treatment of adult patients with KRAS G12C-mutated metastatic colorectal cancer (mCRC), as determined by an FDA-approved test, who have received prior fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy",2025-01-16,2032-01-16,"treatment of adult patients with KRAS G12C-mutated metastatic colorectal cancer (mCRC), as determined by an FDA-approved test, who have received prior fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy",Amgen Inc.,1 Amgen Center Drive,Mail Stop 27-3-A,Thousand Oaks,California,' 91320 ' ,United States,654918.0
sotorasib,Lumakras,2019-05-01,Treatment of KRAS p.G12C-positive non-small cell lung cancer,Designated/Approved,,,"Treatment of adult patients with KRAS G12C-mutated locally advanced or metastatic non-small cell lung cancer (NSCLC), as determined by an FDA-approved test, who have received at least one prior systemic therapy.",2021-05-28,2028-05-28,"Treatment of adult patients with KRAS G12C-mutated locally advanced or metastatic non-small cell lung cancer (NSCLC), as determined by an FDA-approved test, who have received at least one prior systemic therapy.",Amgen Inc.,1 Amgen Center Drive,Mail Stop 27-3-A,Thousand Oaks,California,' 91320 ' ,United States,653818.0
